,trend_name,top_keywords,sentiment,volume,Top_Hastags
0,Rohit Cricket,"['rohit', 'cricket', 'youtube', 'mumbai', 'bharat']",Positive,46,"['#mumbai', '#india', '#cricket', '#mumbairoad', '#maharashtra']"
1,Media Social,"['media', 'social', 'social media', 'outfit', 'best']",Positive,36,"['#socialmedia', '#twitter', '#fashion', '#instagram', '#outfit']"
