,Date,Tweets,Likes,Views,Hastags,Keywords,topics,Sentiment_score,Sentiment_label
13,2025-04-05T02:07:59.000Z,"'Up to the Government To Make Policy Calls on Such Issues': Supreme Court Refuses To Entertain PIL Seeking Social Media Ban for Children Below 13

https://latestly.com/socially/india/news/up-to-the-government-to-make-policy-calls-on-such-issues-supreme-court-refuses-to-entertain-pil-seeking-social-media-ban-for-children-below-13-6759691.html…

#SocialMediaBan #PIL #SocialMedia #CentralGovernment #SupremeCourt",0,0,"#SocialMediaBan, #PIL, #SocialMedia, #CentralGovernment, #SupremeCourt","['Government', 'Make', 'Policy', 'Calls', 'Issues', 'Supreme', 'Court', 'Refuses', 'Entertain', 'PIL', 'Seeking', 'Social', 'Media', 'Ban', 'Children', '13']",1,0.3182,Positive
14,2025-04-05T02:01:06.000Z,"Tweeting daily untill she 
@MsKajalAggarwal
 replies me 
Day:-60
  #Trending #Viralvideo #mskajalaggarwal #PradaBeautyMYxWin",0,0,"#Trending, #Viralvideo, #mskajalaggarwal, #PradaBeautyMYxWin","['Tweeting', 'daily', 'untill', 'MsKajalAggarwal', 'reply', 'Day', '60']",1,0.0,Neutral
15,2025-04-05T02:00:35.000Z,"Tweeting daily untill he 
@AlwaysRamCharan
 anna replies me 
Day:-60
#RamCharan𓃵
  #Trending #Viralvideo
#RamCharan",0,0,"#RamCharan𓃵, #Trending, #Viralvideo, #RamCharan","['Tweeting', 'daily', 'untill', 'AlwaysRamCharan', 'anna', 'reply', 'Day', '60']",-1,0.0,Neutral
16,2025-04-05T01:30:00.000Z,"SC refuses to entertain PIL seeking to debar kids below 13 from using #socialmedia

https://tribuneindia.com/news/india/sc-refuses-to-entertain-pil-seeking-to-debar-kids-below-13-from-using-social-media/… 
@satyastp_satya",0,0,#socialmedia,"['SC', 'refuse', 'entertain', 'PIL', 'seek', 'debar', 'kid', '13', 'use', 'satyastpsatya']",0,0.3182,Positive
17,2025-04-05T01:20:35.000Z,"The image in the post is a letter from the Chief Labour Commissioner to the Finance Ministry, urging public sector banks to implement revised minimum wages for daily wage workers, aligning with the Labour Ministry's 2025 guidelines.

#CLCMOLE #PMOIndia #Ghibli #viral #Trending",0,0,"#CLCMOLE, #PMOIndia, #Ghibli, #viral, #Trending","['image', 'letter', 'Chief', 'Labour', 'Commissioner', 'Finance', 'Ministry', 'urge', 'public', 'sector', 'bank', 'implement', 'revise', 'minimum', 'wag', 'daily', 'wage', 'workers', 'align', 'Ministrys', '2025', 'guidelines']",0,0.0,Neutral
18,2025-04-05T00:45:00.000Z,"We Are Live at MEDICALL EXPO - HITEX, HYDERABAD! 

#TechCloudERP #BestERP #HealthcareERP #MedicallExpo #BusinessGrowth #ERPForHospitals #Expo2025 #HyderabadExpo #BusinessSolutions #medicallexpo2025 #medicall #xpost  #viralpost #latestpost #socialmedia #hyderabad #india",0,0,"#TechCloudERP, #BestERP, #HealthcareERP, #MedicallExpo, #BusinessGrowth, #ERPForHospitals, #Expo2025, #HyderabadExpo, #BusinessSolutions, #medicallexpo2025, #medicall, #xpost, #viralpost, #latestpost, #socialmedia, #hyderabad, #india","['Live', 'MEDICALL', 'EXPO', 'HITEX', 'HYDERABAD']",0,0.0,Neutral
19,2025-04-04T23:42:25.000Z,"this best outfits for women | top trending women outfit

#oufits #wear #explore #viral #follow #trending #follow #x #style #fashion #womenoutfits",0,0,"#oufits, #wear, #explore, #viral, #follow, #trending, #follow, #x, #style, #fashion, #womenoutfits","['best', 'outfit', 'women', 'top', 'outfit']",1,0.7184,Positive
20,2025-04-04T23:36:18.000Z,"Top trending outfits Idea | best outfit for you

#outfitoftheday #reels #shortsfeed #fashion #fashiontrends #subscribe #outfitideas #explorepage #style #wear #usa #amazonfinds #fashionblogger #trending #outfitoftheday #outfit",0,0,"#outfitoftheday, #reels, #shortsfeed, #fashion, #fashiontrends, #subscribe, #outfitideas, #explorepage, #style, #wear, #usa, #amazonfinds, #fashionblogger, #trending, #outfitoftheday, #outfit","['Top', 'outfit', 'Idea', 'best', 'outfit']",1,0.7184,Positive
21,2025-04-04T22:10:03.000Z,"Jey Uso Vs Gunther Wrestlemania 41 Prediction Match WWE 2K25 |  | 
.
Youtube- https://youtu.be/psLfgFOeffs?si=1OKwhpxfQSL-zhCr…
.
#like #share #follow #subscribe #reels #reelsviral #viralreels #trending #viralvideo #trendingreels #trendingnow #trendingvideo #pc #pcgamer #WWE #WWERaw #WWE2K25",0,0,"#like, #share, #follow, #subscribe, #reels, #reelsviral, #viralreels, #trending, #viralvideo, #trendingreels, #trendingnow, #trendingvideo, #pc, #pcgamer, #WWE, #WWERaw, #WWE2K25","['Jey', 'Uso', 'Vs', 'Gunther', 'Wrestlemania', '41', 'Prediction', 'Match', 'WWE', '2', 'K', '25', 'Youtube']",0,0.5719,Positive
22,2025-04-04T21:20:15.000Z,"Chennai Express | SRK Tries To Talk In Tamil | Comedy Scene 
.
#reels #reelsinstagram #instagram #viral #trending #explore #explorepage #instagood #fyp #love #reelitfeelit #tiktok #trendingreels 
@iamsrk
 @gaurikhan
 @pooja_dadlani
 @BeingSalmanKhan",0,0,"#reels, #reelsinstagram, #instagram, #viral, #trending, #explore, #explorepage, #instagood, #fyp, #love, #reelitfeelit, #tiktok, #trendingreels","['Chennai', 'Express', 'SRK', 'Tries', 'Talk', 'Tamil', 'Comedy', 'Scene', 'iamsrk', 'gaurikhan', 'poojadadlani', 'BeingSalmanKhan']",0,0.7717,Positive
